"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"IN099999901","PORT BLAIR, IN","2000-08-24","80",,"75"
"IN099999901","PORT BLAIR, IN","2000-08-25","78","82","73"
"IN099999901","PORT BLAIR, IN","2000-08-26","80","85","76"
"IN099999901","PORT BLAIR, IN","2000-08-27","81","84",
"IN099999901","PORT BLAIR, IN","2000-08-28","80","82","75"
"IN099999901","PORT BLAIR, IN","2000-08-29","80","82","76"
"IN099999901","PORT BLAIR, IN","2000-08-30","82","85","78"
"IN099999901","PORT BLAIR, IN","2000-08-31","81","87",
"IN099999901","PORT BLAIR, IN","2000-09-01","82","85","72"
"IN099999901","PORT BLAIR, IN","2000-09-02","81","84","76"
"IN099999901","PORT BLAIR, IN","2000-09-03","82","85","75"
"IN099999901","PORT BLAIR, IN","2000-09-04","82","86","77"
"IN099999901","PORT BLAIR, IN","2000-09-05","81","86","77"
"IN099999901","PORT BLAIR, IN","2000-09-07","81","86","75"
"IN099999901","PORT BLAIR, IN","2000-09-08","83","86",
"IN099999901","PORT BLAIR, IN","2000-09-09","81","86",
"IN099999901","PORT BLAIR, IN","2000-09-10","80","85",
"IN099999901","PORT BLAIR, IN","2000-09-11","81","85","76"
"IN099999901","PORT BLAIR, IN","2000-09-12","79","82","74"
"IN099999901","PORT BLAIR, IN","2000-09-13","80","84","74"
"IN099999901","PORT BLAIR, IN","2000-09-14","81","86","74"
"IN099999901","PORT BLAIR, IN","2000-09-15","81",,"75"
"IN099999901","PORT BLAIR, IN","2000-09-16","80","86","75"
"IN099999901","PORT BLAIR, IN","2000-09-17","81",,"74"
"IN099999901","PORT BLAIR, IN","2000-09-18","81","87",
"IN099999901","PORT BLAIR, IN","2000-09-19","81","87","74"
"IN099999901","PORT BLAIR, IN","2000-09-20","81","86","77"
"IN099999901","PORT BLAIR, IN","2000-09-21","82","87",
"IN099999901","PORT BLAIR, IN","2000-09-22","82","87",
"IN099999901","PORT BLAIR, IN","2000-09-23","83","88",
"IN099999901","PORT BLAIR, IN","2000-09-24","80","85","76"
"IN099999901","PORT BLAIR, IN","2000-09-25","80","87","72"
"IN099999901","PORT BLAIR, IN","2000-09-26","79","87","75"
"IN099999901","PORT BLAIR, IN","2000-09-27","80","86","74"
"IN099999901","PORT BLAIR, IN","2000-09-28","76","78","73"
"IN099999901","PORT BLAIR, IN","2000-09-29","77",,"72"
"IN099999901","PORT BLAIR, IN","2000-09-30","76","81",
"IN099999901","PORT BLAIR, IN","2000-10-01","78","84",
"IN099999901","PORT BLAIR, IN","2000-10-02","80","86","74"
"IN099999901","PORT BLAIR, IN","2000-10-03","81","88","76"
"IN099999901","PORT BLAIR, IN","2000-10-04","80","87","75"
"IN099999901","PORT BLAIR, IN","2000-10-05","82",,"75"
"IN099999901","PORT BLAIR, IN","2000-10-06","80","86","75"
"IN099999901","PORT BLAIR, IN","2000-10-07","77","81","74"
"IN099999901","PORT BLAIR, IN","2000-10-08","76","80","73"
"IN099999901","PORT BLAIR, IN","2000-10-09","76","79","73"
"IN099999901","PORT BLAIR, IN","2000-10-10","75",,"71"
"IN099999901","PORT BLAIR, IN","2000-10-11","77","83","71"
"IN099999901","PORT BLAIR, IN","2000-10-12","77","82","74"
"IN099999901","PORT BLAIR, IN","2000-10-13","78","84","74"
"IN099999901","PORT BLAIR, IN","2000-10-14","79","85","75"
"IN099999901","PORT BLAIR, IN","2000-10-15","80","85","75"
"IN099999901","PORT BLAIR, IN","2000-10-16","80","85","77"
"IN099999901","PORT BLAIR, IN","2000-10-17","80","87","76"
"IN099999901","PORT BLAIR, IN","2000-10-18","81","88",
"IN099999901","PORT BLAIR, IN","2000-10-19","81","87","75"
"IN099999901","PORT BLAIR, IN","2000-10-20","81","87","75"
"IN099999901","PORT BLAIR, IN","2000-10-21","80","87","74"
"IN099999901","PORT BLAIR, IN","2000-10-22","78","86","74"
